question_id,sample_id,participant_id,video_id,video_paths,video_file_paths,has_uploaded_sample_video,annotation_task_type,task_type,cognitive_level,question,option_a,option_b,option_c,option_d,correct_option,evidence_temporal,evidence_spatial,reasoning_chain,annotator_id,created_at,qc_status,annotation_source
egomonth_qa_000046,001,001,001_0071,001/001_0071.mp4,videos/001/001_0071.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0071.mp4>What floor is the user's home on,A.5,B.6,C.7,D.8,C,ev_176,,The user's home is on the 7th floor,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000047,001,001,001_0072,001/001_0072.mp4,videos/001/001_0072.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0072.mp4>What ball is the user playing,A.Badminton,B.basketball,C.volleyball,D.keyboard badminton,A,ev_177,,Users are playing play badminton,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000048,001,001,001_78,001/001_0078.mp4,videos/001/001_0078.mp4,false,procedure_planning,Procedure Planning,Level 3: Cascading Reasoning,<001_0078.mp4>What are the steps to make dumplings,A.put the filling->fold it in half->  wrap it up->Pick up the dumpling wrapper,B.Pick up the dumpling wrapper-> fold it in half->  put the filling->wrap it up,C.Pick up the dumpling wrapper-> put the filling->fold it in half->  wrap it up,D.Pick up the dumpling wrapper-> put the filling-> wrap it up->fold it in half,D,ev_185,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000049,001,001,001_0071,001/001_0071.mp4,videos/001/001_0071.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0071.mp4>What floor is the user's home on,A.5,B.6,C.7,D.8,C,ev_176,,The user's home is on the 7th floor,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000050,002,002,002_0001,002/002_0001.mp4,videos/002/002_0001.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<002_0001.mp4>where is the bike,A.bathroom,B.dormitory,C.corridor,D.outside,C,,0001_obj_bike_01,Bike in the corridor,worker_02,2025-12-09,accepted,global_json_list
egomonth_qa_000051,002,002,002_0001,002/002_0001.mp4,videos/002/002_0001.mp4,false,event_counting,Event Counting,Level 3: Cascading Reasoning,<002_0001.mp4>how many times have walked down the corridor,A.2,B.3,C.4,D.5,A,,,walked down the corridor for 2 times,worker_02,2025-12-09,accepted,global_json_list
egomonth_qa_000052,002,002,002_0001,002/002_0001.mp4,videos/002/002_0001.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0001.mp4>What did I do before washing face?,A.Turned off the TV,B.Picked up the keys,C.Brushing teeth,D.Washing clothes,C,,0001_obj_brush_01,"Before washing face, I brushed my teeth.",worker_02,2025-12-09,accepted,global_json_list
egomonth_qa_000053,002,002,002_0002,002/002_0002.mp4,videos/002/002_0002.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0002.mp4>What is the color of the liquid?,A.Blue,B.Green,C.Pink,D.Red,C,,0002_obj_liquid_01,The color of the liquid is pink.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000054,002,002,002_0002,002/002_0002.mp4,videos/002/002_0002.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<002_0002.mp4>How many floors did I went down and reached the outdoor area?,A.1,B.5,C.2,D.3,C,,,I went down 2 floors and reached the outdoor area.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000055,002,002,002_0002,002/002_0002.mp4,videos/002/002_0002.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0002.mp4>Which food did I finally discard?,A.sausage,B.omelette,C.soymilk,D.bread,C,,,I throw the soymilk into the bin.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000056,002,002,002_0002,002/002_0002.mp4,videos/002/002_0002.mp4,false,event_time,Event Time,Level 2: Episodic Indexing,<002_0002.mp4>When do I open my computer?,A.7:47,B.8:47,C.9:47,D.10:47,B,,,I open my computer at 8:47.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000057,002,002,002_0003,002/002_0003.mp4,videos/002/002_0003.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0003.mp4>What is the color of the curtain?,A.Blue,B.Green,C.Pink,D.Red,B,,,The color of the curtain is green.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000058,002,002,002_0003,002/002_0003.mp4,videos/002/002_0003.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0003.mp4>When do I turn on the tablet computer?,A.12:03,B.12:13,C.12:23,D.12:33,B,,,The time I opened the tablet computer is 12:13.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000059,002,002,002_0003,002/002_0001.mp4|002/002_0003.mp4,videos/002/002_0001.mp4|videos/002/002_0003.mp4,false,event_counting,Event Counting,Level 3: Cascading Reasoning,<002_0001.mp4><002_0003.mp4>How many times have I been to the water room?,A.1,B.2,C.3,D.4,B,,,I have been to the water room twice.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000060,002,002,002_0003,002/002_0003.mp4,videos/002/002_0003.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0003.mp4>What software did I finally open?,A.Rednote,B.Drawing,C.QQ,D.Office,B,,,I finally opened the Drawing software.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000061,002,002,002_0004,002/002_0004.mp4,videos/002/002_0004.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0004.mp4>What is my lunch?,A.Noodles,B.Pasta,C.Rice,D.Potato,A,,,I ate noodles for lunch.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000062,002,002,002_0004,002/002_0004.mp4,videos/002/002_0004.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0004.mp4>What do I use to press the instant noodles?,A.Tablet PC,B.Book,C.Phone,D.Board,A,,,I use a tablet PC to press the instant noodles.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000063,002,002,002_0004,002/002_0004.mp4,videos/002/002_0004.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0004.mp4>What did I have for lunch?,A.Folks,B.Chopsticks,C.Spoon,D.Fork,A,,,I use chopsticks to eat the instant noodles.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000064,002,002,002_0004,002/002_0004.mp4,videos/002/002_0004.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,"<002_0004.mp4>Finally, what color were the pants I wore?",A.Navy blue,B.Black,C.White,D.Red,C,,,I wore white pants finally.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000065,002,002,002_0005,002/002_0005.mp4,videos/002/002_0005.mp4,false,spatial_relation,Spatial Relation,Level 2: Episodic Indexing,<002_0005.mp4>Is the light on when I was brushing my teeth?,A.Yes,B.No,C.Not given,D.Confused,B,,,I brushed my teeth and washed the face with no lights on.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000066,002,002,002_0005,002/002_0005.mp4|002/002_0004.mp4|002/002_0003.mp4|002/002_0002.mp4|002/002_0001.mp4,videos/002/002_0005.mp4|videos/002/002_0004.mp4|videos/002/002_0003.mp4|videos/002/002_0002.mp4|videos/002/002_0001.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<002_0005.mp4><002_0004.mp4><002_0003.mp4><002_0002.mp4><002_0001.mp4>What do I usually do in the morning?,A.Have breakfast,B.Getting water,C.Play games,D.Sleep,B,,,I usually get water in the morning.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000067,002,002,002_0005,002/002_0005.mp4,videos/002/002_0005.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0005.mp4>How many floors did I go up to get the water?,A.2,B.1,C.0,D.3,B,,,I went up 1 floor to get the water.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000068,002,002,002_0006,002/002_0006.mp4,videos/002/002_0006.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0006.mp4>How many floors did I go up to get the water?,A.2,B.1,C.0,D.3,B,,,I went up 1 floor to get the water.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000069,002,002,002_0006,002/002_0006.mp4,videos/002/002_0006.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<002_0006.mp4>How many floors did I went down and reached the outdoor area?,A.1,B.5,C.2,D.4,C,,,I went down 2 floors and reached the outdoor area.,worker_02,2025-12-10,accepted,global_json_list
egomonth_qa_000070,002,002,002_0007,002/002_0007.mp4,videos/002/002_0007.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<002_0007.mp4>where are the clothes,A.balcony,B.bathroom,C.classroom,D.corridor,A,,0007_obj_clothes_01,Clothes are on the balcony,worker_02,2025-12-11,accepted,global_json_list
egomonth_qa_000071,002,002,002_0007,002/002_0007.mp4,videos/002/002_0007.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0007.mp4>what color is the water dispenser,A.grey,B.red,C.blue,D.white,A,,,The water dispenser is grey,worker_02,2025-12-11,accepted,global_json_list
egomonth_qa_000072,002,002,002_0007,002/002_0007.mp4,videos/002/002_0007.mp4,false,direction_judgement,Direction Judgment,Level 3: Cascading Reasoning,"<002_0007.mp4>After going upstairs, do I turn left or right?",A.downstair,B.upstair,C.right,D.left,C,,,I turn right after going upstairs,worker_02,2025-12-11,accepted,global_json_list
egomonth_qa_000073,002,002,002_0007,002/002_0007.mp4,videos/002/002_0007.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<002_0007.mp4>what color is the broom,A.grey,B.red,C.blue,D.white,A,,,The broom is grey,worker_02,2025-12-11,accepted,global_json_list
